Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size_company,Founded,Type of ownership,Industry,Sector,Revenue
"Data Scientist, Reality Labs Sales Analytics",$134K - $194K (Employer est.),"As a Data Scientist at Meta, you will shape the future of people-facing and business-facing products",4.0,Meta,"San Francisco, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Data Reporting and Analytics Consultant V,$89K - $123K (Glassdoor est.),"Job Summary:

This individual contributor is primarily responsible for driving strategic data-inform",3.9,Kaiser Permanente,"Oakland, CA",10000+ Employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
"Data Scientist, Genomics",$110K - $138K (Employer est.),"Who we are:
Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development compan",4.1,CALICO,"South San Francisco, CA",201 to 500 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
Lead Data Scientist-2,$124K - $182K (Glassdoor est.),"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, every",4.3,Mastercard,"San Francisco, CA",10000+ Employees,1966,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD)
Senior Health Data Analyst,$140K - $175K (Employer est.),"At Nuna, our mission is to make high-quality healthcare affordable and accessible for everyone. We a",3.8,Nuna,"San Francisco, CA",51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Software Engineer, Machine Learning (Grammarly for Developers)",$181K - $246K (Employer est.),Grammarly is excited to offer a remote-first hybrid working model. Team members can work primarily r,4.6,Grammarly,"San Francisco, CA",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Senior Staff Data Scientist,$118K - $236K (Employer est.),Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our po,3.8,Abbott Laboratories,"Alameda, CA",10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
"Software Engineer, Machine Learning On-Device",$181K - $246K (Employer est.),Grammarly is excited to offer a remote-first hybrid working model. Team members can work primarily r,4.6,Grammarly,"San Francisco, CA",501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Senior Data Scientist (Remote),$154K - $174K (Employer est.),"Company Introduction
Verikai is an insurance technology company changing the way the industry views",5.0,Verikai,"San Francisco, CA",1 to 50 Employees,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,nan
Senior Data Analyst,$60.00 Per Hour(Employer est.),"FocusKPI is looking for a Senior Data Analyst to work for our client. In this role, you will work cl",3.3,FocusKPI Inc.,"San Francisco, CA",51 to 200 Employees,Company - Private,Advertising & Public Relations,Media & Communication,Less than $1 million (USD),nan
Software Engineer 1 - Machine Learning,$89K - $140K (Glassdoor est.),Responsible for implementing various algorithms to do automated feature extraction and dataset augme,4.9,Abacus.AI,"San Francisco, CA",51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Staff Data Scientist,$143K - $200K (Glassdoor est.),"Want to help us, help others? We're hiring!
GoFundMe is a global community of over 100 million peopl",4.3,GoFundMe,"San Francisco, CA",201 to 500 Employees,2010,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
"Data Scientist, RNA Structure",$101K - $159K (Glassdoor est.),"Atomic AI, Inc. is a well-funded, early-stage biotech company transforming the rational design of mo",nan,Atomic AI,"South San Francisco, CA",1 to 50 Employees,2021,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
